update_period,MAE,RMSE,MAPE,Cv_end
0.0,49.84346082428875,157.37587823610954,2.076752778258057,90.0
1.0,49.89839499783203,157.31480340125577,2.0744632061607016,88.19818369037876
2.0,50.0297813822432,157.82211809739488,2.0815763827180764,88.33689402968527
3.0,49.98289776645767,157.63489685980187,2.080089307100942,88.71795612151551
4.0,49.95022853718303,157.66984416491272,2.0798081523077214,88.99262052074116
5.0,49.90660515559605,157.57686398122615,2.0785154052921384,89.21121480329641
6.0,49.93518504702667,157.56906449601368,2.079504782285697,89.33019285513076
7.0,49.885100381714615,157.5652028526443,2.078327855083683,89.43141157200483
8.0,49.905993225130764,157.4929872876689,2.0784211106145443,89.52392731945346
9.0,49.88764740782657,157.46679957531572,2.078050141665714,89.59948637941125
10.0,49.8761201620819,157.46525132462438,2.0776606472967805,89.66722706061469
11.0,49.8855775425212,157.5251529129579,2.0782307416444405,89.68022012670224
12.0,49.877497687891626,157.41602530689119,2.077771679740508,89.68843687152868
13.0,49.87114879460684,157.5181395300582,2.077668851585439,89.78707065081794
14.0,49.86862875049315,157.5031498909628,2.077610081345768,89.76122601905706
15.0,49.83142870732959,157.37950524285296,2.0760651147591096,89.78705449946062
16.0,49.87906954905929,157.49957406335815,2.078131505730014,89.7811151288933
17.0,49.8780586178455,157.45156141001993,2.0777475288166243,89.85812186432169
18.0,49.858045517127685,157.37222201444146,2.0769945444750504,89.84139239506176
19.0,49.87428752543397,157.42331996877527,2.077634113060658,89.85506985784114
20.0,49.853112333939535,157.3758605493493,2.077044856115006,89.85118967149269
21.0,49.853576141854866,157.4230512414036,2.0773643265370967,89.8461214117003
22.0,49.86407099261062,157.45940010983105,2.0775352391654107,89.84292771410317
23.0,49.876939911550416,157.46520192610052,2.077906629509705,89.85011395606463
24.0,49.854612035718816,157.34339196015932,2.076882086617256,89.83473357221084
25.0,49.86369784619719,157.45745816955494,2.0776011487882924,89.92846805064976
26.0,49.849407425169076,157.45240126772472,2.0770718903937184,89.92923524304167
27.0,49.87404738394634,157.45705489780426,2.0780899735442544,89.91713204021421
28.0,49.85602620321879,157.4465334937721,2.0772386827379723,89.94463511413909
29.0,49.86978468062268,157.44493107906993,2.077739606676214,89.9230800272122
30.0,49.83478599058098,157.3299475561416,2.0761813936757902,89.93532104404962
31.0,49.85566366599985,157.45900164796768,2.0771981723088686,89.93841893227983
32.0,49.87134263974185,157.44364936674572,2.0777687481312683,89.93343768371966
33.0,49.84857728635578,157.4162784450738,2.076858731007934,89.91305624863693
34.0,49.85861422079265,157.43545718625973,2.07722427867253,89.90054036806482
35.0,49.86384563507468,157.42940640438542,2.0777245741606833,89.91530339582496
36.0,49.844376960806855,157.31653055589715,2.0764601350728578,89.91161860289117
37.0,49.8488055359886,157.42838518446476,2.077071786952428,89.91641248817214
38.0,49.85917952097969,157.42800236859253,2.0772929985165787,89.8792410017153
39.0,49.857389803837314,157.41439570659483,2.0770157543601035,89.91309551175424
40.0,49.8436938275348,157.31178992913618,2.076356748530551,89.90973801981022
41.0,49.85454931496654,157.42262202220058,2.0770315151579224,89.91602383363582
42.0,49.8507245678853,157.42101823472325,2.0771312996022857,89.89964113178782
43.0,49.85137947000159,157.41503622712594,2.0770133207183767,89.90453928855844
44.0,49.854221209805985,157.40972016672632,2.0771510639924538,89.89851844273214
45.0,49.828785330482916,157.30063581300874,2.075818340305434,89.90267471472656
46.0,49.86966793948964,157.42314294981887,2.0777158251821763,89.89771452232513
47.0,49.86140957613017,157.42151534834625,2.077397415740779,89.91094126208598
48.0,49.85372642254204,157.41418399043977,2.077257618052768,89.91038057436705
49.0,49.851948698215026,157.40858879639987,2.0770355143549906,89.90516507768147
50.0,49.85332494350574,157.41506032350398,2.077353362699716,90.01381837891896
