step_id,step_index,step_time,direction,model,steady_value,low_band,high_band,overshoot_percent,undershoot_percent,peak_time_s,trough_time_s,settling_time_Ts_s,settle_abs_time,extremum_type,extremum_value,extremum_time
1,24,137.0,rise,Actual,3304.4067966666667,3139.186456833333,3469.6271365000002,17.602587669293204,,12.0,,17.0,154.0,peak,3886.0679,149.0
1,24,137.0,rise,Identification,3318.4424954709298,3152.520370697383,3484.3646202444766,5.160282863171044,,17.0,,35.0,172.0,peak,3489.6835148889018,154.0
1,24,137.0,rise,LSTM,3341.221761109375,3174.160673053906,3508.2828491648443,1.4281071591019374,,52.0,,12.0,149.0,peak,3388.93798828125,189.0
1,24,137.0,rise,Physics-based,3297.071330920688,3132.2177643746536,3461.9248974667225,6.883357581974135,,12.0,,17.0,154.0,peak,3524.020540360713,149.0
